Nombre,Latitud,Longitud,Pais,Siglas,Tipo,Poblacion
Nanjing,32.05,118.7667,China,CHN,Capital Comunidad,7729000
Changchun,43.9,125.2,China,CHN,Capital Comunidad,7674439
Tangshan,39.6292,118.1742,China,CHN,Ciudad,7577289
Cangzhou,38.3037,116.8452,China,CHN,Ciudad,7544300
Dar es Salaam,-6.8,39.2833,Tanzania,TZA,Capital,7461000
Hefei,31.8639,117.2808,China,CHN,Capital Comunidad,7457027
Hong Kong,22.3069,114.1831,Hong Kong,HKG,Capital,7398000
Shaoyang,27.2418,111.4725,China,CHN,Ciudad,7370500
Zhanjiang,21.1967,110.4031,China,CHN,Capital Provincia,7332000
Shangqiu,34.4259,115.6467,China,CHN,Ciudad,7325300
Nantong,31.9829,120.8873,China,CHN,Capital Provincia,7283622
Yancheng,33.3936,120.1339,China,CHN,Capital Provincia,7260240
Nanning,22.8192,108.315,China,CHN,Capital Comunidad,7254100
Hengyang,26.8968,112.5857,China,CHN,Ciudad,7243400
Zhumadian,32.9773,114.0253,China,CHN,Ciudad,7231234
Shenyang,41.8039,123.4258,China,CHN,Capital Comunidad,7208000
Xingtai,37.0659,114.4753,China,CHN,Ciudad,7104103
Xi'an,34.2667,108.9,China,CHN,Capital Comunidad,7090000
Santiago de Chile,-33.45,-70.6667,Chile,CHL,Capital,7026000
Yantai,37.3997,121.2664,China,CHN,Ciudad,6968202
Riyadh,24.65,46.71,Arabia Saudí,SAU,Capital,6889000
Luoyang,34.6587,112.4245,China,CHN,Ciudad,6888500
Kunming,25.0433,102.7061,China,CHN,Capital Comunidad,6850000
Shangrao,28.4419,117.9633,China,CHN,Capital Provincia,6810700
Hangzhou,30.25,120.1675,China,CHN,Capital Comunidad,6713000
Bijie,27.3019,105.2863,China,CHN,Ciudad,6686100
Quanzhou,24.9139,118.5858,China,CHN,Capital Provincia,6480000
Miami,25.7839,-80.2102,Estados Unidos,USA,Ciudad,6445545
Wuxi,31.5667,120.2833,China,CHN,Capital Provincia,6372624
Huanggang,30.45,114.875,China,CHN,Capital Provincia,6333000
Maoming,21.6618,110.9178,China,CHN,Capital Provincia,6313200
Nanchong,30.7991,106.0784,China,CHN,Capital Provincia,6278614
Zunyi,27.705,106.9336,China,CHN,Ciudad,6270700
Qujing,25.5102,103.8029,China,CHN,Ciudad,6155400
Baghdad,33.35,44.4167,Irak,IRQ,Capital,6107000
Xinyang,32.1264,114.0672,China,CHN,Ciudad,6109106
Jieyang,23.5533,116.3649,China,CHN,Capital Provincia,6089400
Khartoum,15.6031,32.5265,Sudán,SDN,Capital,6017000
Madrid,40.4430,-3.6732,España,ESP,Capital,6006000
Allahabad,25.45,81.85,India,IND,Ciudad,5954391
Yulin,22.6293,110.1507,China,CHN,Capital Provincia,5849700
Changde,29.0397,111.6839,China,CHN,Capital Provincia,5827200
Liaocheng,36.45,115.9833,China,CHN,Capital Provincia,5789863
Qingdao,36.1167,120.4,China,CHN,Capital Provincia,5775000
Dallas,32.7936,-96.7662,Estados Unidos,USA,Ciudad,5743938
Nangandao,35.2992,113.8851,China,CHN,Capital Provincia,5708191
Xiangyang,32.0654,112.1531,China,CHN,Capital Provincia,5680000
Philadelphia,40.0077,-75.1339,Estados Unidos,USA,Ciudad,5649300
Giza,29.987,31.2118,Egipto,EGY,Capital Comunidad,5598402
Lu'an,31.7542,116.5078,China,CHN,Capital Provincia,5611701
Zhaotong,27.3328,103.7144,China,CHN,Ciudad,5591000
Yichun,27.8041,114.383,China,CHN,Capital Provincia,5573200
Dezhou,37.4513,116.3105,China,CHN,Capital Provincia,5568235
Nairobi,-1.2864,36.8172,Kenia,KEN,Capital,5545000
Nanchang,28.6842,115.8872,China,CHN,Capital Comunidad,5545500
Tai'an,36.2001,117.0809,China,CHN,Ciudad,5494207
Dazhou,31.2152,107.4947,China,CHN,Capital Provincia,5468097
Houston,29.7863,-95.3889,Estados Unidos,USA,Ciudad,5464251
Guadalajara City,20.6767,-103.3475,México,MEX,Capital Comunidad,5437000
Yongzhou,26.4515,111.5953,China,CHN,Ciudad,5452100
Atlanta,33.7627,-84.4224,Estados Unidos,USA,Capital Comunidad,5449398
Rangoon,16.795,96.16,Birmania,MMR,Capital,5430000
Toronto,43.7417,-79.3733,Canadá,CAN,Capital Comunidad,5429524
Suihua,46.6384,126.9808,China,CHN,Capital Provincia,5418153
Saint Petersburg,59.95,30.3167,Rusia,RUS,Capital Comunidad,5384342
Washington,38.9047,-77.0163,Estados Unidos,USA,Capital,5379184
Qiqihar,47.3398,123.9512,China,CHN,Capital Provincia,5367003
Suzhou,33.6333,116.9683,China,CHN,Ciudad,5352924
Shantou,23.3735,116.6941,China,CHN,Capital Provincia,5319028
Weinan,34.4996,109.4684,China,CHN,Capital Provincia,5286077
Changzhou,31.8122,119.9692,China,CHN,Capital Provincia,5278121
Singapore,1.3,103.8,Singapur,SGP,Capital,5271000
Fuzhou,26.0769,119.2917,China,CHN,Capital Comunidad,5245000
Pudong,31.2231,121.5397,China,CHN,Capital Provincia,5187200
Belo Horizonte,-19.9281,-43.9419,Brasil,BRA,Capital Comunidad,5159000
Zhangzhou,24.5093,117.6612,China,CHN,Capital Provincia,5140000
Yuncheng,35.0304,110.998,China,CHN,Ciudad,5134779
Suzhou,31.304,120.6164,China,CHN,Capital Provincia,5103000
Xianyang,34.35,108.7167,China,CHN,Capital Provincia,5096001
Guilin,25.2667,110.2833,China,CHN,Capital Provincia,5085500
Taizhou,32.4831,119.9,China,CHN,Capital Provincia,5031000
Abidjan,5.3364,-4.0267,Costa de Marfil,CIV,Capital,4980000
Huaihua,27.5494,109.9592,China,CHN,Ciudad,4979600
Ji'an,27.1172,114.9793,China,CHN,Capital Provincia,4956600
Xiaoganzhan,30.9273,113.911,China,CHN,Ciudad,4921000
Pingdingshan,33.735,113.2999,China,CHN,Ciudad,4904701
Jiujiang,29.7048,116.0021,China,CHN,Capital Provincia,4896800
Surat,21.17,72.83,India,IND,Ciudad,4875000
Guiyang,26.5794,106.7078,China,CHN,Capital Comunidad,4881900
Alexandria,31.2,29.9167,Egipto,EGY,Capital Comunidad,4870000
Bozhou,33.8626,115.7742,China,CHN,Ciudad,4850657
Sydney,-33.865,151.2094,Australia,AUS,Capital Comunidad,4840600
Huizhou,23.1115,114.4152,China,CHN,Capital Provincia,4830000
Huai'an,33.5,119.1331,China,CHN,Ciudad,4799889
Chenzhou,25.7989,113.0267,China,CHN,Capital Provincia,4744500
Barcelona,41.3825,2.1769,España,ESP,Capital Comunidad,4735000
Anqing,30.5,117.0333,China,CHN,Capital Provincia,4723000
Suqian,33.9331,118.2831,China,CHN,Ciudad,4719178
Boston,42.3188,-71.0846,Estados Unidos,USA,Capital Comunidad,4688346
Jiangmen,22.5833,113.0833,China,CHN,Capital Provincia,4630300
Mianyang,31.4669,104.7385,China,CHN,Capital Provincia,4613862
Harbin,45.75,126.6333,China,CHN,Capital Comunidad,4583000
Huanglongsi,34.7936,114.3403,China,CHN,Ciudad,4564900
Melbourne,-37.8136,144.9631,Australia,AUS,Capital Comunidad,4529500
Zibo,36.7831,118.0497,China,CHN,Ciudad,4530597
Dalian,38.9,121.6,China,CHN,Ciudad,4480000
Hengshui,37.7348,115.686,China,CHN,Ciudad,4472000
Yibin,28.7596,104.64,China,CHN,Capital Provincia,4471896
Yangzhou,32.3912,119.4363,China,CHN,Ciudad,4459760
Timbio,2.3528,-76.6819,Colombia,COL,Capital Provincia,4444444
Johannesburgo,-26.2044,28.0416,Sudáfrica,ZAF,Capital Comunidad,4434827
Yiyang,28.5833,112.3333,China,CHN,Ciudad,4413800
Guigang,23.0961,109.6092,China,CHN,Capital Provincia,4409200
Xinpu,34.5906,119.1801,China,CHN,Capital Provincia,4393482
Meizhou,24.2998,116.1191,China,CHN,Capital Provincia,4378800
Casablanca,33.5992,-7.62,Marruecos,MAR,Capital Comunidad,4370000
Langfang,39.5196,116.7006,China,CHN,Ciudad,4358839
Zhangjiakou,40.8108,114.8811,China,CHN,Ciudad,4345485
Chifeng,42.2663,118.9223,China,CHN,Capital Provincia,4341245
Linfen,36.0812,111.5087,China,CHN,Ciudad,4316610
Jiangguanchi,34.0244,113.8201,China,CHN,Capital Provincia,4307488
Kabul,34.5328,69.1658,Afganistán,AFG,Capital,4273156
Phoenix,33.5722,-112.0891,Estados Unidos,USA,Capital Comunidad,4219697
Luzhou,28.8918,105.4409,China,CHN,Capital Provincia,4218427
Taiyuan,37.8733,112.5425,China,CHN,Capital Comunidad,4201592
Zhaoqing,23.05,112.4667,China,CHN,Capital Provincia,4151700
Xiaoxita,30.7083,111.2803,China,CHN,Capital Provincia,4137900
Xiamen,24.4797,118.0819,China,CHN,Capital Provincia,4110000
Fuzhou,27.9814,116.3577,China,CHN,Ciudad,4047200
Liuzhou,24.3264,109.4281,China,CHN,Capital Provincia,4041700
Zhuzhou,27.8407,113.1469,China,CHN,Capital Provincia,4020800
Amman,31.95,35.9333,Jordania,JOR,Capital,4007526
Jeddah,21.5428,39.1728,Arabia Saudí,SAU,Ciudad,3976000
Chuzhou,32.3062,118.3115,China,CHN,Ciudad,3937868
Loudi,27.7378,111.9974,China,CHN,Ciudad,3931800
Deyang,31.1289,104.395,China,CHN,Capital Provincia,3877000
Qingyuan,23.6842,113.0507,China,CHN,Capital Provincia,3874000
Kano,12.0,8.5167,Nigeria,NGA,Capital Comunidad,3848885
Wuhu,31.334,118.3622,China,CHN,Capital Provincia,3842100
Seattle,47.6211,-122.3244,Estados Unidos,USA,Ciudad,3789215
Yokohama,35.4333,139.6333,Japón,JPN,Capital Comunidad,3757630
Binzhou,37.3806,118.0125,China,CHN,Ciudad,3748474
Baojishi,34.3609,107.1751,China,CHN,Ciudad,3738700
Zaozhuang,34.8667,117.55,China,CHN,Ciudad,3729140
Neijiang,29.5872,105.0635,China,CHN,Capital Provincia,3702847
Baicheng,23.901,106.6194,China,CHN,Capital Provincia,3669400
Berlin,52.5167,13.3833,Alemania,DEU,Capital,3664088
Anshan,41.1066,122.9895,China,CHN,Ciudad,3645884
Lanzhou,36.0617,103.8318,China,CHN,Capital Comunidad,3616163
Puyang,35.7639,115.03,China,CHN,Capital Provincia,3598740
San Francisco,37.7562,-122.443,Estados Unidos,USA,Ciudad,3592294
Jiaozuo,35.229,113.2304,China,CHN,Ciudad,3590700
Hechi,24.6928,108.085,China,CHN,Capital Provincia,3545700
Montreal,45.5089,-73.5617,Canadá,CAN,Ciudad,3519595
Detroit,42.3834,-83.1024,Estados Unidos,USA,Ciudad,3506126
Chengde,40.9739,117.9322,China,CHN,Ciudad,3473201
Busan,35.1,129.0403,Corea del Sur,KOR,Capital Comunidad,3453198
Algiers,36.7764,3.0586,Argelia,DZA,Capital,3415811
Hanzhong,33.0794,107.026,China,CHN,Ciudad,3416196
Shiyan,32.6351,110.7755,China,CHN,Capital Provincia,3398000
Lucknow,26.847,80.947,India,IND,Capital Comunidad,3382000
Siping,43.1715,124.3644,China,CHN,Ciudad,3385156
Yulinshi,38.2655,109.7388,China,CHN,Ciudad,3351436
Changzhi,36.1953,113.097,China,CHN,Capital Provincia,3334565
Qinzhou,21.95,108.6167,China,CHN,Capital Provincia,3304400
Bazhou,31.8576,106.7559,China,CHN,Capital Provincia,3283148
Qincheng,34.5809,105.7311,China,CHN,Capital Provincia,3262549
Zhongshan,22.5333,113.35,China,CHN,Capital Provincia,3260000
Suining,30.5098,105.5737,China,CHN,Capital Provincia,3252619
Leshan,29.5854,103.7575,China,CHN,Ciudad,3235759
San Diego,32.8312,-117.1225,Estados Unidos,USA,Ciudad,3220118
Faisalabad,31.418,73.079,Pakistán,PAK,Capital Provincia,3203846
Guang'an,30.4673,106.6336,China,CHN,Capital Provincia,3205476
Tongren,27.7233,109.1885,China,CHN,Ciudad,3168800
Bengbu,32.9354,117.3531,China,CHN,Ciudad,3164467
Santa Cruz,-17.7892,-63.1975,Bolivia,BOL,Capital Comunidad,3151676
Qinhuangdao,39.9398,119.5881,China,CHN,Ciudad,3146300
Tongliao,43.6172,122.264,China,CHN,Capital Provincia,3139153
Jinzhou,41.1144,121.1292,China,CHN,Ciudad,3126463
Zhenjiang,32.2109,119.4551,China,CHN,Capital Provincia,3113384
Urumqi,43.8225,87.6125,China,CHN,Capital Comunidad,3112559
Heyuan,23.7503,114.6923,China,CHN,Capital Provincia,3093900
Jaipur,26.9167,75.8667,India,IND,Capital Comunidad,3073350
Xinzhou,38.4178,112.7233,China,CHN,Capital Provincia,3067501
Wuzhou,23.4833,111.3167,China,CHN,Capital Provincia,3061100
Addis Ababa,9.0272,38.7369,Etiopía,ETH,Capital,3041002
Chaoyang,41.5757,120.4486,China,CHN,Ciudad,3044641
Brasilia,-15.7939,-47.8828,Brasil,BRA,Capital,3015268
Mashhad,36.3069,59.6042,Irán,IRN,Capital Comunidad,3001184
Shaoguan,24.8011,113.5927,China,CHN,Capital Provincia,2997600
Kuwait City,29.375,47.98,Kuwait,KWT,Capital,2989000
Shanwei,22.7664,115.3331,China,CHN,Capital Provincia,2993600
Quezon City,14.6333,121.0333,Filipinas,PHL,Capital Comunidad,2960048
Minneapolis,44.9635,-93.2678,Estados Unidos,USA,Ciudad,2977172
Kyiv,50.45,30.5236,Ucrania,UKR,Capital,2963199
Sanaa,15.35,44.2,Yemen,YEM,Capital,2957000
Meishan,30.0575,103.8381,China,CHN,Ciudad,2950545
Guatemala City,14.6099,-90.5252,Guatemala,GTM,Capital,2934841
Incheon,37.4639,126.6486,Corea del Sur,KOR,Capital Comunidad,2913024
Ningde,26.6617,119.5228,China,CHN,Capital Provincia,2910000
Tampa,27.9942,-82.4451,Estados Unidos,USA,Ciudad,2908063
Daqing,46.5979,125.008,China,CHN,Ciudad,2904532
Putian,25.4394,119.0103,China,CHN,Capital Provincia,2900000
Bandung,-6.95,107.5667,Indonesia,IDN,Capital Comunidad,2875673
Surabaya,-7.2458,112.7378,Indonesia,IDN,Capital Comunidad,2885555
Salvador,-12.9708,-38.5108,Brasil,BRA,Capital Comunidad,2886698
Denver,39.7621,-104.8759,Estados Unidos,USA,Capital Comunidad,2876625
Roma,41.8931,12.4828,Italia,ITA,Capital,2872800
La Paz,-16.4942,-68.1475,Bolivia,BOL,Capital,2867504
Hohhot,40.8151,111.6629,China,CHN,Capital Comunidad,2866615
Xiangtan,27.8431,112.9228,China,CHN,Ciudad,2864800
Pyongyang,39.03,125.73,Corea del Norte,PRK,Capital,2863000
Taichung,24.15,120.6667,Taiwán,TWN,Capital Comunidad,2803894
Weihai,37.5,122.1,China,CHN,Capital Provincia,2804771
Rizhao,35.4164,119.4331,China,CHN,Capital Provincia,2801013
Mudanjiang,44.5861,129.5997,China,CHN,Capital Provincia,2798723
Kaohsiung,22.6167,120.3,Taiwán,TWN,Capital Comunidad,2773533
Guayaquil,-2.19,-79.8875,Ecuador,ECU,Capital Comunidad,2723665
Tieling,42.2841,123.8365,China,CHN,Ciudad,2717732
Cawnpore,26.4725,80.3311,India,IND,Ciudad,2701324
Dingxi,35.5806,104.6263,China,CHN,Capital Provincia,2698624
Taipei,25.0478,121.5319,Taiwán,TWN,Ciudad,2684567
Nanping,26.6448,118.1728,China,CHN,Capital Provincia,2690000
Zigong,29.3498,104.7645,China,CHN,Ciudad,2678899
Chaozhou,23.67,116.63,China,CHN,Capital Provincia,2656600
Baotou,40.6562,109.8345,China,CHN,Ciudad,2650364
Gulou,26.0819,119.2981,China,CHN,Capital Provincia,2606000
Longyan,25.0881,117.0244,China,CHN,Capital Provincia,2640000
Ankang,32.6877,109.0235,China,CHN,Ciudad,2629906
Baoshan,25.1211,99.169,China,CHN,Ciudad,2627000
Huludao,40.7094,120.8378,China,CHN,Capital Provincia,2623541
Antananarivo,-18.9386,47.5214,Madagascar,MDG,Capital,2610000
Yanjiang,30.1256,104.6397,China,CHN,Capital Provincia,2593843
Chattogram,22.335,91.8325,Bangladés,BGD,Capital Comunidad,2581643
Santo Domingo,18.4764,-69.8933,República Dominicana,DOM,Capital,2581827
Sanming,26.2658,117.6302,China,CHN,Capital Provincia,2580000
Longba,33.535,105.349,China,CHN,Ciudad,2567718
Brooklyn,40.6501,-73.9496,Estados Unidos,USA,Ciudad,2559903
Yangjiang,21.8556,111.9627,China,CHN,Capital Provincia,2555600
Jiamusi,46.8081,130.3653,China,CHN,Capital Provincia,2552097
Ibadan,7.3964,3.9167,Nigeria,NGA,Capital Comunidad,2550593
Luohe,33.583,114.0109,China,CHN,Capital Provincia,2544266
Lincang,23.8864,100.0871,China,CHN,Ciudad,2536000
Medellin,6.2447,-75.5748,Colombia,COL,Capital Comunidad,2529403
Xuanzhou,30.9475,118.7518,China,CHN,Ciudad,2532938
Yunfu,22.9242,112.0353,China,CHN,Capital Provincia,2526900
Dubai,25.2697,55.3094,Emiratos Árabes Unidos,ARE,Capital Comunidad,2502715
Mirzapur,25.15,82.58,India,IND,Ciudad,2496970
Tashkent,41.3,69.2667,Uzbekistán,UZB,Capital,2497900
Guangyuan,32.4353,105.8398,China,CHN,Ciudad,2484122
Cali,3.44,-76.5197,Colombia,COL,Capital Comunidad,2471474
Huangshi,30.2018,115.0326,China,CHN,Capital Provincia,2471700
Ouagadougou,12.3686,-1.5275,Burkina Faso,BFA,Capital,2453496
Daegu,35.8667,128.6,Corea del Sur,KOR,Capital Comunidad,2461002
Fortaleza,-3.7275,-38.5275,Brasil,BRA,Capital Comunidad,2452185
Yaounde,3.8578,11.5181,Camerún,CMR,Capital,2440462
Douala,4.05,9.7,Camerún,CMR,Capital Comunidad,2446945
Jilin,43.8519,126.5481,China,CHN,Ciudad,2396000
Dandong,40.1167,124.3833,China,CHN,Ciudad,2444697
Lianshan,40.7523,120.828,China,CHN,Capital Provincia,2426000
Yingkou,40.6653,122.2297,China,CHN,Capital Provincia,2428534
Nagpur,21.1539,79.0831,India,IND,Ciudad,2405665
Omdurman,15.6167,32.48,Sudán,SDN,Ciudad,2395159
Bekasi,-6.2333,107.0,Indonesia,IDN,Ciudad,2381053
Ghaziabad,28.6667,77.4167,India,IND,Ciudad,2375820
Yuxi,24.3495,102.5432,China,CHN,Capital Provincia,2386000
Brisbane,-27.4678,153.0281,Australia,AUS,Capital Comunidad,2360241
Anshun,26.2456,105.934,China,CHN,Ciudad,2353100
Depok,-6.394,106.8225,Indonesia,IDN,Ciudad,2330333
Shangzhou,33.868,109.9244,China,CHN,Ciudad,2341742
Huainan,32.4831,117.0164,China,CHN,Ciudad,2333896
Kuaidamao,41.7302,125.9471,China,CHN,Capital Provincia,2324439
Accra,5.6037,-0.187,Ghana,GHA,Capital,2291352
Fukuoka,33.6,130.4167,Japón,JPN,Capital Comunidad,2280000
Jincheng,35.4906,112.8483,China,CHN,Capital Provincia,2279146
Vancouver,49.25,-123.1,Canadá,CAN,Ciudad,2264823
Tangerang,-6.1783,106.6319,Indonesia,IDN,Ciudad,2237006
Sanmenxia,34.7736,111.195,China,CHN,Ciudad,2234018
Laibin,23.7333,109.2333,China,CHN,Capital Provincia,2233900
Queens,40.7498,-73.7976,Estados Unidos,USA,Ciudad,2230722
Qinbaling,35.7278,107.64,China,CHN,Ciudad,2211191
Xining,36.6239,101.7787,China,CHN,Capital Comunidad,2208708
Ma'anshan,31.6858,118.5101,China,CHN,Capital Provincia,2202899
Yan'an,36.5952,109.4863,China,CHN,Ciudad,2187009
Baku,40.3667,49.8352,Azerbaiyán,AZE,Capital,2181800
Gaoping,30.7824,106.1281,China,CHN,Capital Provincia,2174000
Harare,-17.8292,31.0522,Zimbabue,ZWE,Capital,2150000
Havana,23.1367,-82.3589,Cuba,CUB,Capital,2141652
Phnom Penh,11.5696,104.921,Camboya,KHM,Capital,2129371
Ningbo,29.875,121.5492,China,CHN,Capital Provincia,2125500
Mogadishu,2.0408,45.3425,Somalia,SOM,Capital,2120000
Puning,23.2993,116.1586,China,CHN,Ciudad,2118200
Medan,3.6667,98.6667,Indonesia,IDN,Capital Comunidad,2109330
Huaibei,33.9562,116.789,China,CHN,Ciudad,2114276
Qingyang,24.8141,118.5792,China,CHN,Capital Provincia,2111000
Riverside,33.9381,-117.3948,Estados Unidos,USA,Ciudad,2107852
Baltimore,39.3051,-76.6144,Estados Unidos,USA,Ciudad,2106068
Haiphong,20.8,106.6667,Vietnam,VNM,Capital Comunidad,2103500
Las Vegas,36.2333,-115.2654,Estados Unidos,USA,Ciudad,2104198
Chongzuo,22.4167,107.3667,China,CHN,Capital Provincia,2099400
Rawalpindi,33.6007,73.0679,Pakistán,PAK,Capital Provincia,2098231
Kumasi,6.6833,-1.6167,Ghana,GHA,Capital Comunidad,2069350
Portland,45.5372,-122.65,Estados Unidos,USA,Ciudad,2074775
Vadodara,22.3,73.2,India,IND,Ciudad,2065771
Hezhou,24.4164,111.5478,China,CHN,Capital Provincia,2072600
Pingliang,35.5412,106.6819,China,CHN,Capital Provincia,2068033
San Antonio,29.4658,-98.5253,Estados Unidos,USA,Ciudad,2049293
Perth,-31.9522,115.8589,Australia,AUS,Capital Comunidad,2039200
Vishakhapatnam,17.7333,83.3167,India,IND,Ciudad,2035922
Shengli,37.45,118.4667,China,CHN,Capital Provincia,2035338
Gujranwala,32.15,74.1833,Pakistán,PAK,Capital Provincia,2027001
Baicheng,45.6148,122.832,China,CHN,Capital Provincia,2032356
Fushun,41.8708,123.8917,China,CHN,Ciudad,2024000
St. Louis,38.6358,-90.2451,Estados Unidos,USA,Ciudad,2024074
Bamako,12.6458,-7.9922,Malí,MLI,Capital,2009109
Quito,-0.22,-78.5125,Ecuador,ECU,Capital,2011388
Minsk,53.9022,27.5618,Bielorrusia,BLR,Capital,2009786
Indore,22.7206,75.8472,India,IND,Ciudad,1994397
Yinchuan,38.4795,106.2254,China,CHN,Capital Comunidad,1993088
Kananga,-5.8961,22.4167,República Democrática del Congo,COD,Capital Comunidad,1971704
Peshawar,34.0,71.5,Pakistán,PAK,Capital Comunidad,1970042
Sapporo,43.0621,141.3544,Japón,JPN,Capital Comunidad,1961690
Esfahan,32.6447,51.6675,Irán,IRN,Capital Comunidad,1961260
Caracas,10.5,-66.9333,Venezuela,VEN,Capital,1943901
Pingxiang,27.6333,113.85,China,CHN,Capital Provincia,1933200
Aleppo,36.2,37.15,Siria,SYR,Capital Comunidad,1916781
Tijuana,32.525,-117.0333,México,MEX,Capital Provincia,1922523
Almaty,43.25,76.9,Kazajistán,KAZ,Capital Comunidad,1916822
Viena,48.2083,16.3725,Austria,AUT,Capital,1911191
Thane,19.18,72.9633,India,IND,Ciudad,1886941
Sacramento,38.5667,-121.4683,Estados Unidos,USA,Capital Comunidad,1898019
Blantyre,-15.7861,35.0058,Malawi,MWI,Capital Comunidad,1895973
Tainan,22.9833,120.1833,Taiwán,TWN,Capital Comunidad,1883831
Zhuhai,22.2769,113.5678,China,CHN,Capital Provincia,1891100
Bucharest,44.4,26.0833,Rumanía,ROU,Capital,1883425
Curitiba,-25.4297,-49.2719,Brasil,BRA,Capital Comunidad,1879355
Multan,30.1978,71.4711,Pakistán,PAK,Capital Provincia,1871843
Xiping,40.082,113.2981,China,CHN,Capital Provincia,1873000
Ecatepec,19.6097,-99.06,México,MEX,Capital Provincia,1857188
Jixi,45.2937,130.965,China,CHN,Capital Provincia,1862165
Saidu Sharif,34.75,72.3572,Pakistán,PAK,Capital Provincia,1860310
Liaoyang,41.2643,123.1772,China,CHN,Ciudad,1858768
